host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label,thermal_session_id,thermal_label,thermal_width,thermal_height,thermal_frame_index,thermal_capture_latency_s,thermal_temp_min_c,thermal_temp_mean_c,thermal_temp_p95_c,thermal_temp_max_c,thermal_temp_center_c,thermal_nearest_frame_dt_s,alignment_mode
1780597612.8508058,0.013267899994389154,250,0.038574,-0.025146,1.047852,0.610687,2.29771,-0.70229,1.048863,2.479036,25,42,17,25,0,100.0,1,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.27967550000175834,shared_host_elapsed_s_interpolation
1780597612.8819044,0.04436669999267906,280,0.04126,-0.05127,1.046631,1.419847,2.496183,-1.183206,1.048698,3.105942,26,44,18,26,0,100.0,5,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.24857670000346843,shared_host_elapsed_s_interpolation
1780597612.912151,0.07461330000660382,311,0.057373,0.00708,1.050049,2.847328,3.862595,-0.496183,1.051639,4.824222,30,50,20,30,0,100.0,5,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.21833009998954367,shared_host_elapsed_s_interpolation
1780597612.9434,0.10586209999746643,342,0.042969,-0.017822,1.039551,0.694656,3.40458,-0.984733,1.040591,3.611566,33,54,21,33,0,100.0,6,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.18708129999868106,shared_host_elapsed_s_interpolation
1780597612.9740968,0.1365590999921551,372,0.039551,-0.037598,1.057373,1.78626,2.610687,-0.793893,1.05878,3.261392,35,58,23,35,0,100.0,1,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.1563843000039924,shared_host_elapsed_s_interpolation
1780597613.0048063,0.167268499993952,403,0.033691,-0.048828,1.051514,1.618321,2.80916,-0.824427,1.053186,3.345149,40,64,24,40,0,100.0,5,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.1256749000021955,shared_host_elapsed_s_interpolation
1780597613.0351107,0.1975728999968851,434,0.027832,-0.001221,1.067871,1.167939,2.938931,-1.076336,1.068234,3.340643,44,70,26,44,0,100.0,0,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.09537049999926239,shared_host_elapsed_s_interpolation
1780597613.0665004,0.22896269999910146,465,0.028809,-0.033936,1.036377,2.48855,2.19084,-1.114504,1.037332,3.497825,46,75,29,46,1,100.0,13,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.06398069999704603,shared_host_elapsed_s_interpolation
1780597613.097821,0.2602831999975024,496,0.035889,0.016357,1.050781,1.557252,2.305344,-0.717557,1.051521,2.87307,51,82,31,51,0,100.0,1,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.03266019999864511,shared_host_elapsed_s_interpolation
1780597613.127799,0.2902613000042038,526,0.028809,-0.021729,1.063965,0.89313,2.877863,-1.236641,1.064576,3.257155,53,86,33,53,0,101.449,0,normal,normal8,normal,160.0,120.0,0.0,0.2916067999904044,41.459991455078125,42.45935821533203,42.92999267578125,43.82000732421875,42.32000732421875,0.002682099991943687,shared_host_elapsed_s_interpolation
1780597613.1603942,0.3228564000019105,557,0.048096,-0.027344,1.047363,2.549618,2.465649,-0.954198,1.048824,3.672938,55,91,36,55,1,101.449,14,normal,normal8,normal,160.0,120.0,0.03240091389982754,0.2891584929737918,41.45804747934793,42.45741053161151,42.928373025605225,43.81644270951511,42.31709136062346,0.029913000005763024,shared_host_elapsed_s_interpolation
1780597613.1898677,0.35232999999425374,588,0.044922,-0.005859,1.044678,0.633588,2.458015,-1.221374,1.04566,2.816918,60,98,38,60,0,101.449,0,normal,normal8,normal,160.0,120.0,0.06432588215730377,0.2867461497901531,41.456132059194296,42.4554914579352,42.92677716690144,43.812930456384976,42.31421823039301,0.05938659999810625,shared_host_elapsed_s_interpolation
