host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label,thermal_session_id,thermal_label,thermal_width,thermal_height,thermal_frame_index,thermal_capture_latency_s,thermal_temp_min_c,thermal_temp_mean_c,thermal_temp_p95_c,thermal_temp_max_c,thermal_temp_center_c,thermal_nearest_frame_dt_s,alignment_mode
1780605404.434807,0.005382699993788265,157,0.064697,-0.054443,1.061035,1.290076,2.923664,-0.40458,1.064399,3.221148,10,16,6,10,0,0.0,5,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.1683601999975508,shared_host_elapsed_s_interpolation
1780605404.4653091,0.03588479998870753,188,0.060791,-0.030518,1.042725,1.770992,2.534351,-1.122137,1.044941,3.289155,11,19,8,11,1,0.0,18,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.13785810000263155,shared_host_elapsed_s_interpolation
1780605404.4965348,0.06711049999285024,219,0.065918,-0.016602,1.045898,1.80916,3.137405,-0.648855,1.048105,3.679318,15,24,9,15,0,0.0,5,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.10663239999848884,shared_host_elapsed_s_interpolation
1780605404.527138,0.09771380000165664,250,0.040527,-0.030029,1.058838,1.961832,2.816794,-0.839695,1.060039,3.533865,16,26,10,16,0,64.0,5,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.07602909998968244,shared_host_elapsed_s_interpolation
1780605404.5575273,0.12810289999470115,281,0.009277,-0.032471,1.04541,2.221374,2.847328,-1.045802,1.045955,3.759718,19,30,11,19,0,64.0,5,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.045639999996637926,shared_host_elapsed_s_interpolation
1780605404.5893037,0.15987949998816475,312,0.047363,-0.030518,1.062988,1.465649,2.541985,-0.778626,1.06448,3.035798,20,32,12,20,0,64.0,5,damping,damping6,damping,160.0,120.0,0.0,0.16821360000176355,41.720001220703125,42.71653747558594,43.100006103515625,43.910003662109375,42.800018310546875,0.01386340000317432,shared_host_elapsed_s_interpolation
1780605404.6202548,0.19083049999608193,343,0.043945,-0.025879,1.04126,1.900763,2.465649,-0.870229,1.042508,3.232588,21,34,13,21,0,64.0,5,damping,damping6,damping,160.0,120.0,0.016702059680149,0.16868835771857985,41.71849809649668,42.715281877555405,43.09867016301203,43.90749845509863,42.79951726914473,0.017087600004742853,shared_host_elapsed_s_interpolation
1780605404.6539748,0.22455040000204463,374,0.048584,-0.028809,1.053223,1.854962,1.717557,-0.793893,1.054736,2.649746,24,38,14,24,0,64.0,5,damping,damping6,damping,160.0,120.0,0.04966115177921063,0.1696252232078037,41.715531898907564,42.71280413697009,43.096033878210044,43.90255479245011,42.798528536615024,0.05080750001070555,shared_host_elapsed_s_interpolation
1780605404.682357,0.2529327999945963,405,0.01416,-0.013916,1.052002,2.061069,2.076336,-0.717557,1.052189,3.012319,27,42,15,27,0,64.0,5,damping,damping6,damping,160.0,120.0,0.07740317163044087,0.1704137928966126,41.71303521871526,42.710718596255035,43.09381488913442,43.89839365879627,42.79769630988425,0.07918990000325721,shared_host_elapsed_s_interpolation
1780605404.7133899,0.2839657000004081,436,0.040527,-0.020752,1.05127,1.854962,3.229008,-1.10687,1.052255,3.884911,28,45,17,28,1,64.0,17,damping,damping6,damping,160.0,120.0,0.10773588937905985,0.1712760034322559,41.71030538519962,42.708438296615626,43.09138867901421,43.8938439362702,42.79678636537904,0.11022280000906903,shared_host_elapsed_s_interpolation
1780605404.7444382,0.3150139999925159,467,0.046631,0.000977,1.046875,0.839695,3.648855,-0.534351,1.047913,3.782163,30,48,18,30,0,64.0,5,damping,damping6,damping,160.0,120.0,0.1380836596505678,0.17213864183736777,41.707574197012036,42.706156865384166,43.08896126489428,43.88929195595757,42.79587596931651,0.14127110000117682,shared_host_elapsed_s_interpolation
1780605404.7755668,0.34614259999943897,498,0.026123,-0.030029,1.056152,1.778626,3.007634,-0.793893,1.056902,3.583244,31,50,19,31,0,64.0,5,damping,damping6,damping,160.0,120.0,0.1685099181614651,0.17300351127853403,41.704835945170345,42.703869533702054,43.08652757276913,43.88472820288808,42.79496321870261,0.1723997000080999,shared_host_elapsed_s_interpolation
1780605404.8069155,0.3774911999935284,529,0.058594,-0.040527,1.052734,1.526718,2.748092,-0.114504,1.055142,3.145788,34,54,20,34,0,64.516,5,damping,damping6,damping,160.0,120.0,0.1991512128924439,0.17387449314576234,41.70207834085633,42.70156603640567,43.084076680633814,43.880132195698046,42.79404401726461,0.20374830000218935,shared_host_elapsed_s_interpolation
1780605404.8383722,0.4089479999965988,561,0.025391,-0.025879,1.062012,1.427481,2.900763,-0.580153,1.06263,3.284617,35,56,21,35,0,64.516,4,damping,damping6,damping,160.0,120.0,0.22989826636115596,0.1747484812156879,41.69931121864322,42.69925458856514,43.08161732921959,43.87552032534286,42.79312164319357,0.23520510000525974,shared_host_elapsed_s_interpolation
1780605404.8696833,0.44025889999466017,592,0.033447,-0.031738,1.045166,2.099237,2.48855,-1.030534,1.046182,3.41492,36,61,25,36,1,64.516,18,damping,damping6,damping,160.0,120.0,0.26050271170524436,0.17561841563540845,41.696556930639076,42.69695386146707,43.07916938454042,43.87092984533596,42.792203547192194,0.2665160000033211,shared_host_elapsed_s_interpolation
