feature,permutation_importance_mean,permutation_importance_std,model_importance,plot_importance
motion__gz_p50,0.0,0.0,0.00021689636493404723,0.00021689636493404723
motion__gy_slope,0.0,0.0,0.00019699755712195932,0.00019699755712195932
motion__ax_p50,0.0,0.0,0.00019418411402066143,0.00019418411402066143
motion__ax_mean,0.0,0.0,0.00017788900328161053,0.00017788900328161053
motion__acc_mag_slope,0.0,0.0,0.00016976529827128544,0.00016976529827128544
motion__ax_p75,0.0,0.0,0.00015635050061410245,0.00015635050061410245
motion__az_slope,0.0,0.0,0.00011644220369660965,0.00011644220369660965
motion__gz_p25,0.0,0.0,0.00011369150952930149,0.00011369150952930149
motion__ax_p05,0.0,0.0,0.00010494055847902794,0.00010494055847902794
motion__acc_mag_gt_1.12_frac,0.0,0.0,5.133316647719095e-05,5.133316647719095e-05
motion__gx_mean,0.0,0.0,5.106663768682053e-05,5.106663768682053e-05
motion__gx_slope,0.0,0.0,3.440132139622041e-05,3.440132139622041e-05
motion__gyro_mag_gt_20_frac,0.0,0.0,2.5944972630397403e-05,2.5944972630397403e-05
motion__gyro_mag_gt_4_frac,0.0,0.0,2.4401633244373722e-05,2.4401633244373722e-05
motion__ax_slope,0.0,0.0,6.933363849639328e-06,6.933363849639328e-06
motion__gyro_mag_gt_30_frac,0.0,0.0,7.240044636798688e-17,7.240044636798688e-17
motion__ay_slope,0.0,0.0,5.627496335072775e-17,5.627496335072775e-17
motion__acc_mag_gt_1.2_frac,0.0,0.0,3.299139186333158e-17,3.299139186333158e-17
motion__acc_mag_gt_1.5_frac,0.0,0.0,1.1777189265515412e-18,1.1777189265515412e-18
