target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,normal_recall,anomaly_recall,f1_anomaly,folds,fold_mcc_mean,fold_mcc_std
binary,2.0,motion_only,dummy_most_frequent,group_cv,3890,106,0.7277634961439589,0.5,0.3638817480719794,0.5,0.4212170807915489,0.0,0.0,1.0,0.8424341615830978,5,0.0,0.0
binary,2.0,motion_only,extra_trees,group_cv,3890,106,0.8912596401028278,0.8162417708434442,0.9050637778643644,0.8162417708434442,0.8473098625151266,0.71581586016618,0.6515580736543909,0.9809254680324974,0.9292287100552117,5,0.70781318972881,0.2524475107332857
binary,2.0,motion_only,hist_gradient_boosting,group_cv,3890,106,0.883547557840617,0.8065103773178979,0.892599153046367,0.8065103773178979,0.836480774750242,0.6937887705488728,0.6373937677053825,0.9756269869304133,0.9242094696335954,5,0.6876888282621934,0.2608877637505857
binary,2.0,motion_only,knn,group_cv,3890,106,0.8663239074550129,0.8268895998004022,0.8328922621128143,0.8268895998004022,0.8298007824384832,0.6597545553877092,0.7403210576015109,0.9134581419992935,0.9086437104708363,5,0.6643990107436041,0.24385907746762078
binary,2.0,motion_only,logistic_regression,group_cv,3890,106,0.8997429305912596,0.8944743363056195,0.8662020523990018,0.8944743363056195,0.8783907272027702,0.7601508049692559,0.882908404154863,0.9060402684563759,0.9293478260869565,5,0.7775296369430759,0.1603132279727185
binary,2.0,motion_only,random_forest,group_cv,3890,106,0.8827763496143959,0.7980012868454575,0.9032534559591174,0.7980012868454575,0.8320395233203952,0.6933110378486558,0.6118980169971672,0.9841045566937477,0.9243530192435302,5,0.6977913970965464,0.1885192197415328
binary,2.0,motion_only,svm_rbf,group_cv,3890,106,0.90719794344473,0.8892527390495555,0.8798333927878619,0.8892527390495555,0.8843507011108522,0.7690284481738264,0.8498583569405099,0.9286471211586012,0.9357536928279053,5,0.7829918529197831,0.18475984102080284
binary,2.0,motion_pulse,dummy_most_frequent,group_cv,3890,144,0.7277634961439589,0.5,0.3638817480719794,0.5,0.4212170807915489,0.0,0.0,1.0,0.8424341615830978,5,0.0,0.0
binary,2.0,motion_pulse,extra_trees,group_cv,3890,144,0.8814910025706941,0.7968226791668793,0.9003029207062092,0.7968226791668793,0.8304037072501802,0.6894025976230256,0.6109537299339,0.9826916283998587,0.9234854771784232,5,0.6644970610435399,0.2722975102504579
binary,2.0,motion_pulse,hist_gradient_boosting,group_cv,3890,144,0.8884318766066838,0.8137079394495517,0.8989606721673852,0.8137079394495517,0.8437620885273514,0.7075510734555874,0.6496694995278565,0.9777463793712469,0.9273031825795645,5,0.7043548942892169,0.24422358315876977
binary,2.0,motion_pulse,knn,group_cv,3890,144,0.8455012853470437,0.7942609961411313,0.8081023446711257,0.7942609961411313,0.8006586758696547,0.602204293761988,0.6817752596789424,0.9067467326033204,0.8952048823016565,5,0.5988852611644252,0.24542354934089997
binary,2.0,motion_pulse,logistic_regression,group_cv,3890,144,0.9066838046272494,0.8927413644097506,0.8775330255226369,0.8927413644097506,0.8846225403533496,0.7701242381681065,0.8621340887629839,0.9233486400565172,0.9350742264353425,5,0.7808574587065185,0.1368944786602583
binary,2.0,motion_pulse,random_forest,group_cv,3890,144,0.8856041131105399,0.8046725031679147,0.9028008558587163,0.8046725031679147,0.8374663663214499,0.7006349835189604,0.6270066100094429,0.9823383963263864,0.9259197602796737,5,0.7056601050128758,0.19540881544181404
binary,2.0,motion_pulse,svm_rbf,group_cv,3890,144,0.8879177377892031,0.8553196116515217,0.8600596709008197,0.8553196116515217,0.8576390940687937,0.7153635787090477,0.7837582625118036,0.9268809607912398,0.9232934553131598,5,0.7254247485489567,0.2204910918106741
binary,2.0,motion_pulse_thermal,dummy_most_frequent,group_cv,3890,209,0.7277634961439589,0.5,0.3638817480719794,0.5,0.4212170807915489,0.0,0.0,1.0,0.8424341615830978,5,0.0,0.0
binary,2.0,motion_pulse_thermal,extra_trees,group_cv,3890,209,0.844987146529563,0.7348022650881629,0.862563196084006,0.7348022650881629,0.767779610260358,0.5835431763910135,0.49291784702549574,0.9766866831508301,0.9016794390999511,5,0.5428048358216725,0.3378250435584201
binary,2.0,motion_pulse_thermal,hist_gradient_boosting,group_cv,3890,209,0.8876606683804628,0.8146557288138307,0.8949927646189868,0.8146557288138307,0.8434630853720266,0.7050864804472632,0.6543909348441926,0.9749205227834687,0.9266409266409267,5,0.7016254657333496,0.2537744733598043
binary,2.0,motion_pulse_thermal,knn,group_cv,3890,209,0.8074550128534704,0.7412288206685126,0.7585688972661904,0.7412288206685126,0.7488583117002784,0.4994968274136719,0.5958451369216242,0.886612504415401,0.8701681400589357,5,0.5087608124783243,0.14964923240816708
binary,2.0,motion_pulse_thermal,logistic_regression,group_cv,3890,209,0.9213367609254499,0.9110832483608398,0.8953714091215459,0.9110832483608398,0.9027126111211368,0.8063015891605017,0.8885741265344664,0.933592370187213,0.9452789699570815,5,0.80333252401202,0.10891965222529658
binary,2.0,motion_pulse_thermal,random_forest,group_cv,3890,209,0.8663239074550129,0.7707393757698808,0.8858900004706645,0.7707393757698808,0.8049556763027896,0.646453765843364,0.5609065155807366,0.9805722359590251,0.9143610013175231,5,0.609203797946502,0.3568951154560873
binary,2.0,motion_pulse_thermal,svm_rbf,group_cv,3890,209,0.9028277634961439,0.8794531340423992,0.8763634186130606,0.8794531340423992,0.877887671473141,0.7558102373787676,0.8281397544853636,0.9307665135994349,0.9330736543909348,5,0.7601780381100597,0.13816617495123526
binary,2.0,pulse_only,dummy_most_frequent,group_cv,3890,38,0.7277634961439589,0.5,0.3638817480719794,0.5,0.4212170807915489,0.0,0.0,1.0,0.8424341615830978,5,0.0,0.0
binary,2.0,pulse_only,extra_trees,group_cv,3890,38,0.7305912596401029,0.6328614566436815,0.6509869699123431,0.6328614566436815,0.6394250074561098,0.2832691212029269,0.4183191690273843,0.8474037442599788,0.8207321245295929,5,0.3056989231008792,0.16634930830127054
binary,2.0,pulse_only,hist_gradient_boosting,group_cv,3890,38,0.7341902313624679,0.634447498673295,0.6553330057708797,0.634447498673295,0.6417500421286118,0.2890268782469843,0.4154863078375826,0.8534086895090074,0.8237299693146949,5,0.30644777674100493,0.13179569733803134
binary,2.0,pulse_only,knn,group_cv,3890,38,0.7079691516709512,0.6356419500945455,0.6334680183966384,0.6356419500945455,0.6345050570014765,0.26910118758990786,0.4768649669499528,0.7944189332391381,0.7983670571529996,5,0.2729863823267861,0.10555721546503054
binary,2.0,pulse_only,logistic_regression,group_cv,3890,38,0.6809768637532133,0.7208274169462671,0.6751250653365866,0.7208274169462671,0.6613269514641054,0.39330606820045205,0.8083097261567517,0.6333451077357825,0.7429044955458877,5,0.400364086303793,0.1652213793544195
binary,2.0,pulse_only,random_forest,group_cv,3890,38,0.7259640102827764,0.6196344331559167,0.6418428988086411,0.6196344331559167,0.6266910237463522,0.26053249161026987,0.3862134088762984,0.8530554574355351,0.8191994572591588,5,0.28434840591904503,0.1510328601273094
binary,2.0,pulse_only,svm_rbf,group_cv,3890,38,0.7002570694087403,0.7470768294769663,0.6958819604816081,0.7470768294769663,0.6823338649550186,0.43999042602096766,0.8498583569405099,0.6442953020134228,0.7577897798088907,5,0.44424634135868574,0.1979294056156235
binary,2.0,thermal_only,dummy_most_frequent,group_cv,3890,65,0.7277634961439589,0.5,0.3638817480719794,0.5,0.4212170807915489,0.0,0.0,1.0,0.8424341615830978,5,0.0,0.0
binary,2.0,thermal_only,extra_trees,group_cv,3890,65,0.6804627249357327,0.5543877327404105,0.5677397162389868,0.5543877327404105,0.5560966559098414,0.12139538018750552,0.2776203966005666,0.8311550688802544,0.791057320558077,5,0.13823692105676477,0.15418083124825083
binary,2.0,thermal_only,hist_gradient_boosting,group_cv,3890,65,0.6598971722365039,0.5547392970514962,0.5587576083064805,0.5547392970514962,0.556106858937243,0.11342574972419435,0.323890462700661,0.7855881314023313,0.7707503032403397,5,0.12843617647466637,0.18141601966138654
binary,2.0,thermal_only,knn,group_cv,3890,65,0.6359897172236504,0.5297437082830087,0.5311636684519077,0.5297437082830087,0.530189389907393,0.060890822410670106,0.29650613786591123,0.762981278700106,0.7531380753138075,5,0.05982808261215465,0.09638691569273802
binary,2.0,thermal_only,logistic_regression,group_cv,3890,65,0.752185089974293,0.7487676069844555,0.7093729164473453,0.7487676069844555,0.7179073709258244,0.45644364117363906,0.7412653446647781,0.7562698693041329,0.8162409454822722,5,0.44428754452943753,0.2654571693993614
binary,2.0,thermal_only,random_forest,group_cv,3890,65,0.6817480719794344,0.5617724178118357,0.5741651512232941,0.5617724178118357,0.564246224562737,0.13537149934078896,0.2983947119924457,0.8251501236312258,0.7905245346869713,5,0.1480128606665094,0.0886663422664408
binary,2.0,thermal_only,svm_rbf,group_cv,3890,65,0.632904884318766,0.6006196070818528,0.5843355254494873,0.6006196070818528,0.5834799235181645,0.18423688483872064,0.5297450424929179,0.6714941716707877,0.7269598470363289,5,0.17261552856816598,0.29492559008932145
