session_id,label,frame_index,host_epoch_s,host_elapsed_s,request_elapsed_s,capture_latency_s,width,height,temp_min_c,temp_mean_c,temp_p95_c,temp_max_c,temp_center_c
stall_risk1,stall_risk,0,1780593412.716499,0.33487150000291876,0.0016104000096675009,0.33326109999325126,160,120,30.57000732421875,31.74447250366211,31.970001220703125,35.800018310546875,31.910003662109375
stall_risk1,stall_risk,1,1780593413.6739585,1.292330900003435,1.001053600004525,0.29127729999891017,160,120,31.55999755859375,32.18551254272461,32.44000244140625,32.95001220703125,32.420013427734375
stall_risk1,stall_risk,2,1780593414.6291602,2.24753249999776,2.0008966000023065,0.24663589999545366,160,120,31.720001220703125,32.317291259765625,32.58001708984375,33.230010986328125,32.459991455078125
stall_risk1,stall_risk,3,1780593415.5685306,3.1869029000081355,3.0010302000009688,0.1858727000071667,160,120,31.760009765625,32.348533630371094,32.6199951171875,33.029998779296875,32.540008544921875
stall_risk1,stall_risk,4,1780593416.6239467,4.242319099997985,4.001045299999532,0.2412737999984529,160,120,31.779998779296875,32.3327751159668,32.600006103515625,33.1300048828125,32.480010986328125
stall_risk1,stall_risk,5,1780593417.6617184,5.280090800006292,5.0007852999988245,0.27930550000746734,160,120,31.80999755859375,32.32976531982422,32.6199951171875,33.170013427734375,32.52001953125
stall_risk1,stall_risk,6,1780593418.690134,6.3085065000050236,6.000493700004881,0.3080128000001423,160,120,31.55999755859375,32.25640869140625,32.58001708984375,33.1300048828125,32.5
stall_risk1,stall_risk,7,1780593419.559688,7.178060500009451,7.000557400009711,0.1775030999997398,160,120,31.480010986328125,32.213199615478516,32.540008544921875,33.149993896484375,32.52001953125
stall_risk1,stall_risk,8,1780593420.6614926,8.279865100004827,8.000823200010927,0.2790418999938993,160,120,31.52001953125,32.15803909301758,32.480010986328125,33.110015869140625,32.459991455078125
stall_risk1,stall_risk,9,1780593421.641055,9.259427500001038,9.001115699997172,0.25831180000386667,160,120,31.540008544921875,32.10880661010742,32.420013427734375,33.30999755859375,32.420013427734375
stall_risk1,stall_risk,10,1780593422.529689,10.148061400002916,10.00118810001004,0.14687329999287613,160,120,31.45001220703125,32.02145004272461,32.32000732421875,33.1300048828125,32.399993896484375
stall_risk1,stall_risk,11,1780593423.533995,11.15236740000546,11.000562900007935,0.15180449999752454,160,120,31.42999267578125,32.023006439208984,32.32000732421875,33.07000732421875,32.32000732421875
stall_risk1,stall_risk,12,1780593424.5136383,12.132010600005742,12.000392000001739,0.13161860000400338,160,120,31.42999267578125,31.965579986572266,32.25,32.920013427734375,32.300018310546875
stall_risk1,stall_risk,13,1780593425.5866828,13.205055300000822,13.000321900006384,0.20473339999443851,160,120,31.1199951171875,31.850934982299805,32.149993896484375,32.6400146484375,32.170013427734375
stall_risk1,stall_risk,14,1780593426.649606,14.267978500007303,14.000875800003996,0.2671027000033064,160,120,31.1199951171875,31.759010314941406,32.07000732421875,32.55999755859375,32.089996337890625
stall_risk1,stall_risk,15,1780593427.7565339,15.374906199998804,15.000646700005746,0.37425949999305885,160,120,31.08001708984375,31.683931350708008,31.970001220703125,32.540008544921875,32.029998779296875
stall_risk1,stall_risk,16,1780593428.6458237,16.264196200005244,16.001077499997336,0.26311870000790805,160,120,31.040008544921875,31.67374610900879,31.95001220703125,32.6199951171875,32.07000732421875
stall_risk1,stall_risk,17,1780593429.6656444,17.28401680001116,17.00095240000519,0.2830644000059692,160,120,31.0,31.663480758666992,31.95001220703125,32.55999755859375,32.029998779296875
stall_risk1,stall_risk,18,1780593430.6981509,18.31652340000437,18.000503400005982,0.3160199999983888,160,120,31.0,31.634267807006836,31.910003662109375,32.399993896484375,32.07000732421875
stall_risk1,stall_risk,19,1780593431.6247,19.24307260000205,19.000562100001844,0.24251050000020768,160,120,30.69000244140625,31.479902267456055,31.740020751953125,32.32000732421875,31.850006103515625
stall_risk1,stall_risk,20,1780593434.246085,21.86445740000636,20.000320600011037,1.8641367999953218,160,120,29.040008544921875,32.30447006225586,32.55999755859375,36.30999755859375,32.740020751953125
