target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,2.0,motion_only,dummy_most_frequent,group_cv,3890,106,0.1814910025706941,0.11800649915254575,0.05023206196492568,0.11800649915254575,0.06957479098001974,-0.1162487807975328,4,0.0,0.0
multiclass,2.0,motion_only,extra_trees,group_cv,3890,106,0.5802056555269923,0.53121392659506,0.5523456859799575,0.53121392659506,0.5357838182075358,0.4890579013622306,4,0.48287275728193585,0.11760945668399785
multiclass,2.0,motion_only,hist_gradient_boosting,group_cv,3890,106,0.5588688946015424,0.5305467071848533,0.5688712238678815,0.5305467071848533,0.5394978643918704,0.4683042960305817,4,0.4484408916892886,0.1464124924478538
multiclass,2.0,motion_only,knn,group_cv,3890,106,0.5681233933161953,0.5130469252054448,0.5294885391196889,0.5130469252054448,0.5187986428733278,0.4678791426519348,4,0.45477397152063487,0.10742849826365089
multiclass,2.0,motion_only,logistic_regression,group_cv,3890,106,0.6269922879177378,0.5870789079442092,0.601400431908134,0.5870789079442092,0.590008260850272,0.5454354724129223,4,0.525497455262864,0.11441159536031498
multiclass,2.0,motion_only,random_forest,group_cv,3890,106,0.5601542416452442,0.5175497307546456,0.5491662534960474,0.5175497307546456,0.525163259703836,0.46715300458490433,4,0.45493540735155186,0.12230369705750371
multiclass,2.0,motion_only,svm_rbf,group_cv,3890,106,0.6010282776349615,0.5652227256490014,0.5715464033102894,0.5652227256490014,0.5639642827305354,0.5152658547407959,4,0.49963157337186626,0.13939201551062916
multiclass,2.0,motion_pulse,dummy_most_frequent,group_cv,3890,144,0.1814910025706941,0.11800649915254575,0.05023206196492568,0.11800649915254575,0.06957479098001974,-0.1162487807975328,4,0.0,0.0
multiclass,2.0,motion_pulse,extra_trees,group_cv,3890,144,0.5840616966580977,0.5685805154747362,0.5923840600423337,0.5685805154747362,0.5721188653456575,0.49815116086991024,4,0.5004361177822887,0.12434878936717778
multiclass,2.0,motion_pulse,hist_gradient_boosting,group_cv,3890,144,0.5763496143958869,0.5637570201731729,0.6034153247841124,0.5637570201731729,0.5707847688546889,0.49181294301329115,4,0.48262852170940995,0.146671367073347
multiclass,2.0,motion_pulse,knn,group_cv,3890,144,0.5367609254498714,0.5135438131523828,0.5375829650497276,0.5135438131523828,0.516971709979956,0.43712251139507274,4,0.4347725139502794,0.08486173334803375
multiclass,2.0,motion_pulse,logistic_regression,group_cv,3890,144,0.5946015424164525,0.5643687973944492,0.5992388467379128,0.5643687973944492,0.5701046759791467,0.5092347090971959,4,0.49914739640664835,0.08975235771198185
multiclass,2.0,motion_pulse,random_forest,group_cv,3890,144,0.5930591259640103,0.5720002797742487,0.6046607826634486,0.5720002797742487,0.5791853661550818,0.5089472273801215,4,0.5046019633667355,0.13430523552105839
multiclass,2.0,motion_pulse,svm_rbf,group_cv,3890,144,0.583547557840617,0.5678319605178822,0.5887522564138529,0.5678319605178822,0.5687330880009418,0.4979200982473243,4,0.4910946125481015,0.12635097860401087
multiclass,2.0,motion_pulse_thermal,dummy_most_frequent,group_cv,3890,209,0.1814910025706941,0.11800649915254575,0.05023206196492568,0.11800649915254575,0.06957479098001974,-0.1162487807975328,4,0.0,0.0
multiclass,2.0,motion_pulse_thermal,extra_trees,group_cv,3890,209,0.3609254498714653,0.30140067944316373,0.35641881106023116,0.30140067944316373,0.3075301318553774,0.2208246120711999,4,0.22602281136720098,0.1688261486557143
