feature,permutation_importance_mean,permutation_importance_std,model_importance,plot_importance
pulse__state_high_frac,0.0,0.0,0.0008699422249666191,0.0008699422249666191
motion__gx_slope,0.0,0.0,0.0007851772782258485,0.0007851772782258485
motion__gz_p50,0.0,0.0,0.0007536101625957241,0.0007536101625957241
pulse__last_edge_dt_ms_p25,0.0,0.0,0.0007532522719017747,0.0007532522719017747
pulse__rate_zero_frac,0.0,0.0,0.0007241288868686984,0.0007241288868686984
motion__ay_mean,0.0,0.0,0.0006808574620664584,0.0006808574620664584
pulse__last_edge_dt_ms_p50,0.0,0.0,0.0006785626415109116,0.0006785626415109116
motion__ax_mean,0.0,0.0,0.0006696168452265462,0.0006696168452265462
motion__ax_p50,0.0,0.0,0.0006673305133720103,0.0006673305133720103
pulse__rate_hz_max,0.0,0.0,0.000665155257772587,0.000665155257772587
motion__ax_slope,0.0,0.0,0.0005610981379437685,0.0005610981379437685
pulse__last_edge_dt_ms_p05,0.0,0.0,0.0005189950956945548,0.0005189950956945548
motion__az_slope,0.0,0.0,0.0005100050767073078,0.0005100050767073078
pulse__rate_slope,0.0,0.0,0.000478367432076153,0.000478367432076153
motion__ay_slope,0.0,0.0,0.0004258213249106246,0.0004258213249106246
motion__gz_slope,0.0,0.0,0.00040739326601472997,0.00040739326601472997
motion__acc_mag_slope,0.0,0.0,0.0003727554031619827,0.0003727554031619827
pulse__edge_gt_250_frac,0.0,0.0,0.0001464687598233365,0.0001464687598233365
motion__acc_mag_gt_1.5_frac,0.0,0.0,5.742578297667403e-05,5.742578297667403e-05
pulse__edge_gt_500_frac,0.0,0.0,2.1516217704754254e-20,2.1516217704754254e-20
pulse__last_edge_dt_ms_min,0.0,0.0,0.0,0.0
pulse__edge_gt_1000_frac,0.0,0.0,0.0,0.0
