session_id,label,frame_index,host_epoch_s,host_elapsed_s,request_elapsed_s,capture_latency_s,width,height,temp_min_c,temp_mean_c,temp_p95_c,temp_max_c,temp_center_c
load1,load,0,1780590740.1793513,0.31806560000404716,0.0014133999939076602,0.3166522000101395,160,120,34.740020751953125,35.98499298095703,36.3699951171875,37.07000732421875,36.45001220703125
load1,load,1,1780590741.1668742,1.305588599992916,1.0003166999958921,0.30527189999702387,160,120,34.760009765625,35.89167022705078,36.27001953125,37.07000732421875,36.350006103515625
load1,load,2,1780590742.2672198,2.405933999994886,2.000458399998024,0.405475599996862,160,120,34.6400146484375,35.90508270263672,36.27001953125,37.029998779296875,36.45001220703125
load1,load,3,1780590743.0614955,3.2002097999938997,3.000843600006192,0.19936619998770766,160,120,34.740020751953125,35.91295623779297,36.30999755859375,37.07000732421875,36.550018310546875
load1,load,4,1780590744.1195316,4.258245899996837,4.000457799993455,0.25778810000338126,160,120,34.540008544921875,35.87569808959961,36.27001953125,37.029998779296875,36.45001220703125
load1,load,5,1780590745.1390655,5.277779800002463,5.000513999999384,0.27726580000307877,160,120,34.660003662109375,35.86812973022461,36.25,37.029998779296875,36.42999267578125
load1,load,6,1780590746.1210344,6.2597486000013305,6.000048500005505,0.25970009999582544,160,120,34.860015869140625,35.88364028930664,36.27001953125,37.029998779296875,36.45001220703125
load1,load,7,1780590747.0539236,7.192637999993167,7.000110099994345,0.19252789999882225,160,120,34.82000732421875,35.88227462768555,36.27001953125,37.029998779296875,36.410003662109375
load1,load,8,1780590748.1069922,8.245706600006088,8.000283200002741,0.24542340000334661,160,120,34.899993896484375,35.911033630371094,36.290008544921875,37.010009765625,36.410003662109375
load1,load,9,1780590749.1502192,9.288933499992709,9.000547999996343,0.288385499996366,160,120,34.899993896484375,35.95787811279297,36.350006103515625,37.089996337890625,36.42999267578125
load1,load,10,1780590750.0911005,10.229814699996496,10.000979399992502,0.22883530000399332,160,120,34.980010986328125,36.00577926635742,36.3900146484375,37.3900146484375,36.57000732421875
load1,load,11,1780590751.0207465,11.15946090000216,11.000547499992535,0.15891340000962373,160,120,34.760009765625,35.933982849121094,36.33001708984375,37.1300048828125,36.529998779296875
load1,load,12,1780590752.0980117,12.23672610000358,12.000180200004252,0.23654589999932796,160,120,34.760009765625,35.887149810791016,36.27001953125,36.970001220703125,36.470001220703125
load1,load,13,1780590753.0793698,13.218084099993575,13.000607199996011,0.21747689999756403,160,120,34.720001220703125,35.85073471069336,36.230010986328125,36.920013427734375,36.42999267578125
load1,load,14,1780590754.1397934,14.278507600000012,14.000445700003183,0.2780618999968283,160,120,34.70001220703125,35.83625793457031,36.230010986328125,36.920013427734375,36.30999755859375
load1,load,15,1780590755.16302,15.301734199994826,15.00044390000403,0.3012902999907965,160,120,34.660003662109375,35.79461669921875,36.209991455078125,37.029998779296875,36.1400146484375
load1,load,16,1780590756.0015776,16.140291999996407,16.000341199993272,0.13995080000313465,160,120,34.58001708984375,35.74928283691406,36.170013427734375,36.990020751953125,36.27001953125
load1,load,17,1780590757.1491747,17.28788910000003,17.000071300004493,0.2878177999955369,160,120,34.660003662109375,35.80705642700195,36.230010986328125,37.029998779296875,36.230010986328125
load1,load,18,1780590758.18155,18.32026429999678,18.000558400002774,0.31970589999400545,160,120,34.600006103515625,35.75934982299805,36.170013427734375,36.990020751953125,35.920013427734375
load1,load,19,1780590759.1490834,19.287797600001795,19.000617900004727,0.2871796999970684,160,120,34.6400146484375,35.781368255615234,36.209991455078125,36.990020751953125,36.02001953125
load1,load,20,1780590760.1034822,20.242196599996532,20.000063999992562,0.24213260000396986,160,120,34.6400146484375,35.83137512207031,36.25,37.089996337890625,36.100006103515625
load1,load,21,1780590761.0775764,21.21629070000199,21.000629000001936,0.21566170000005513,160,120,34.760009765625,35.91615295410156,36.350006103515625,37.230010986328125,36.1199951171875
load1,load,22,1780590762.0909472,22.22966149999411,22.000533099999302,0.2291283999948064,160,120,34.660003662109375,35.86348342895508,36.290008544921875,37.149993896484375,36.3699951171875
load1,load,23,1780590763.120659,23.259373399996548,23.000081199992565,0.25929220000398345,160,120,34.779998779296875,35.92716598510742,36.3699951171875,37.149993896484375,36.45001220703125
load1,load,24,1780590764.1265032,24.265217499996652,24.00023190000502,0.2649855999916326,160,120,34.860015869140625,36.01639938354492,36.45001220703125,37.19000244140625,36.33001708984375
load1,load,25,1780590765.0019553,25.14066950000415,25.00050999999803,0.14015950000612065,160,120,34.800018310546875,35.9444465637207,36.3699951171875,37.1300048828125,36.27001953125
load1,load,26,1780590766.1828628,26.32157699999516,26.000541500005056,0.32103549999010283,160,120,34.720001220703125,35.90412902832031,36.30999755859375,37.1300048828125,36.27001953125
load1,load,27,1780590767.09403,27.232744199995068,27.00036920000275,0.2323749999923166,160,120,34.760009765625,35.88412857055664,36.30999755859375,37.1300048828125,36.30999755859375
load1,load,28,1780590768.1365209,28.275235199995223,28.000402899997425,0.27483229999779724,160,120,34.760009765625,35.83023452758789,36.230010986328125,36.970001220703125,36.25
load1,load,29,1780590769.104368,29.24308220000239,29.00034230000165,0.24273990000074264,160,120,35.0,35.99028778076172,36.3900146484375,37.3699951171875,36.470001220703125
load1,load,30,1780590769.998,30.136714199994458,30.000841100001708,0.1358730999927502,160,120,35.05999755859375,36.08500671386719,36.490020751953125,37.290008544921875,36.510009765625
load1,load,31,1780590771.137589,31.27630319999298,31.001610499995877,0.2746926999971038,160,120,35.02001953125,36.02853012084961,36.42999267578125,37.1300048828125,36.45001220703125
load1,load,32,1780590772.1750197,32.31373409999651,32.000104199993075,0.31362990000343416,160,120,35.05999755859375,36.06306076049805,36.470001220703125,37.30999755859375,36.510009765625
load1,load,33,1780590773.1427686,33.28148289999808,33.00009570000111,0.2813871999969706,160,120,35.040008544921875,36.05073165893555,36.470001220703125,37.25,36.490020751953125
load1,load,34,1780590774.1915004,34.33021479999297,34.000570399992284,0.3296444000006886,160,120,34.839996337890625,35.9501838684082,36.3699951171875,37.110015869140625,36.3699951171875
load1,load,35,1780590775.050545,35.189259399994626,35.00052760000108,0.1887317999935476,160,120,34.94000244140625,35.979347229003906,36.3900146484375,37.110015869140625,36.42999267578125
load1,load,36,1780590776.094264,36.23297840000305,36.00076999999874,0.23220840000431053,160,120,34.980010986328125,36.045265197753906,36.45001220703125,37.1300048828125,36.490020751953125
load1,load,37,1780590777.189247,37.32796130000497,37.000192399995285,0.32776890000968706,160,120,34.959991455078125,36.01112365722656,36.410003662109375,37.089996337890625,36.45001220703125
load1,load,38,1780590778.04113,38.17984440000146,38.00036180000461,0.17948259999684524,160,120,35.0,35.99573516845703,36.3900146484375,37.089996337890625,36.42999267578125
load1,load,39,1780590779.042566,39.18128030000662,39.00093080000079,0.18034950000583194,160,120,34.959991455078125,36.05656051635742,36.45001220703125,37.170013427734375,36.510009765625
load1,load,40,1780590780.0278716,40.166585999992094,40.00162929999351,0.16495669999858364,160,120,35.100006103515625,36.11150360107422,36.490020751953125,37.30999755859375,36.490020751953125
load1,load,41,1780590781.0899358,41.228650200006086,41.00036619999446,0.22828400001162663,160,120,35.1199951171875,36.1689567565918,36.550018310546875,37.25,36.529998779296875
load1,load,42,1780590782.1245377,42.263252000004286,42.00059060000058,0.26266140000370797,160,120,35.20001220703125,36.16166305541992,36.529998779296875,37.25,36.510009765625
load1,load,43,1780590783.1334865,43.272200799998245,43.00077590000001,0.2714248999982374,160,120,35.20001220703125,36.14570617675781,36.529998779296875,37.230010986328125,36.510009765625
load1,load,44,1780590784.1735673,44.312281699996674,44.00087459999486,0.3114071000018157,160,120,35.160003662109375,36.147518157958984,36.529998779296875,37.230010986328125,36.589996337890625
load1,load,45,1780590785.063543,45.202257400000235,45.000573400000576,0.20168399999965914,160,120,35.17999267578125,36.16032028198242,36.529998779296875,37.30999755859375,36.6300048828125
load1,load,46,1780590786.1440554,46.28276970000297,46.00069230000372,0.2820773999992525,160,120,35.1199951171875,36.106910705566406,36.47100219726561,37.19000244140625,36.529998779296875
load1,load,47,1780590787.2258008,47.364515099994605,47.00008749999688,0.36442759999772534,160,120,35.100006103515625,36.0849723815918,36.45001220703125,37.170013427734375,36.510009765625
load1,load,48,1780590788.047395,48.18610920000356,48.00055080000311,0.18555840000044554,160,120,35.08001708984375,36.131248474121094,36.510009765625,37.27001953125,36.490020751953125
